id,funded_amount,loan_amount,activity,sector,use,partner_id,repayment_interval
653192,800,800,Pigs,Agriculture,to purchase pigs to breed and resell when they gain weight,9,monthly
653181,1500,1500,Personal Housing Expenses,Housing,to purchase timber and zinc to build a new house,9,monthly
653193,1500,1500,Motorcycle Transport,Transportation,To buy a motorcycle for his son's commute to school.   ,61,monthly
653166,600,600,Cattle,Agriculture,To buy a calf to raise. ,61,monthly
653188,1000,1000,Vehicle,Personal Use,To buy a motorbike for family transportation. ,61,monthly
653206,1500,1500,Cattle,Agriculture,To buy another cow for her husband to raise and more grocery items for resale,61,monthly
653194,1000,1000,Cattle,Agriculture,to purchase cattle for tilling his farmland,9,monthly
653266,1000,1000,Higher education costs,Education,to cover university fees for her son,204,monthly
653211,200,200,Food Production/Sales,Food,To buy a sugarcane juicing machine.   ,61,monthly
653191,1500,1500,Vehicle,Personal Use,To buy a motorcycle for commuting to work and build a concrete foundation for his house.   ,61,monthly
653190,1200,1200,Farming,Agriculture,to purchase farmland to use for rice cultivation,9,monthly
653186,1000,1000,Vehicle,Personal Use,To buy a motorcycle for her family to commute. ,61,monthly
653141,1500,1500,Vehicle,Personal Use,to purchase a motorbike for commuting.,9,monthly
653195,1300,1300,Personal Housing Expenses,Housing,to purchase construction materials to build a new house,9,monthly
653268,400,400,Higher education costs,Education,To pay for her son’s vocational training ,204,monthly
653184,1200,1200,Construction,Construction,to purchase construction tools to use in her husband's business.,9,monthly
653265,1200,1200,Higher education costs,Education,to cover the tuition for her daughter.,204,monthly
653209,1500,1500,Farming,Agriculture,"To buy seed, fertilizer and pesticide to maintain her farm.",61,monthly
653176,1500,1500,Vehicle,Personal Use,to purchase a motorbike for her son to drive to work.,61,monthly
653196,700,700,Vehicle,Personal Use,To purchase a motorbike for his brother to drive to work.,61,monthly
653162,500,500,Motorcycle Transport,Transportation,to buy a secondhand motorbike for commuting. ,61,monthly
653213,1500,1500,Fruits & Vegetables,Food,to purchase more mangoes under contract for resale and buy pesticide to prevent mangoes from insect damage.  ,61,monthly
653612,450,450,Personal Housing Expenses,Housing,to build a hygienic latrine to protect the family from illness and promote their health.,106,monthly
653600,250,250,Personal Housing Expenses,Housing,to renovate her old house,204,monthly
653537,500,500,Higher education costs,Education,to cover her daughter's school fees,204,monthly
653580,1500,1500,Farming,Agriculture,to pay for labor to harvest her rice field.,204,monthly
653555,1100,1100,Personal Housing Expenses,Housing,to build a safe latrine and a water storage unit to improve her family's health,106,monthly
653576,900,900,Farming,Agriculture,to pay a plowing fee and a weeding fee and to buy insecticide for her crop.,204,monthly
653560,1000,1000,Farming,Agriculture,to pay for harvesting and plowing fees for her business,204,monthly
653506,500,500,Personal Housing Expenses,Housing,to finish building her house,61,monthly
653651,750,750,Farming,Agriculture, to purchase seeds and fertilizers to use on her farm.,106,monthly
653548,1750,1750,Farming,Agriculture,to buy fertilizer and rice seeds,204,monthly
653565,1000,1000,Personal Housing Expenses,Housing,to buy materials needed to build a household latrine and pay for labor costs.,106,monthly
653643,500,500,Farming,Agriculture,To buy two sacks of fertilizer and to buy fishing materials to catch more fish.  ,204,monthly
653625,375,375,Higher education costs,Education,to pay for her daughter’s university.,204,monthly
653505,1500,1500,Personal Housing Expenses,Housing,to pay fees for her housebuilding and buy silk materials for her silk weaving business.  ,61,monthly
653538,1000,1000,Home Energy,Personal Use,to invest in the purchase of a solar system to install on the rooftop of her house,106,monthly
653577,2000,2000,Farming,Agriculture,to pay for labor fees in growing cassava.,204,monthly
653596,750,750,Farming,Agriculture,to buy fertilizers for her farmland.,204,monthly
653639,500,500,Fish Selling,Food,to buy more fish for resale,204,monthly
653563,500,500,Farming,Agriculture,To pay for the labor fee to slash-and-burn her farm to grow more cassava,204,monthly
653464,800,800,Vehicle,Personal Use,to purchase a motorbike for commuting.,9,monthly
653594,650,650,Farming,Agriculture,to buy fertilizers and seeds for his farmland.,204,monthly
653584,275,275,Personal Housing Expenses,Housing,to build a decent latrine for her family,204,monthly
653507,1000,1000,Farming,Agriculture,"To buy seed, fertilizer and pesticide to maintain her farm.",61,monthly
653641,450,450,Livestock,Agriculture,to purchase additional piglets to raise and to buy a young cow for fattening  in order to help in her family work,106,monthly
653530,1000,1000,Farming,Agriculture,To pay a harvesting fee for her rice crop,204,monthly
653569,1450,1450,Higher education costs,Education,to pay for her son’s tuition at university.,204,monthly
653570,700,700,Farming,Agriculture,to buy fertilizer and rice seed and to pay a labor fee.,204,monthly
653579,1000,1000,Personal Housing Expenses,Housing,to build a safe latrine at home to keep them healthier.,106,monthly
653645,725,725,Farming,Agriculture,To pay for a reaping fee,204,monthly
653504,1200,1200,Vehicle,Personal Use,To buy a motorcycle for family use and to buy fertilizer and pesticides to maintain her rice farm.   ,61,monthly
653597,500,500,Personal Housing Expenses,Housing, to build a safe latrine to improve adequate sanitation for the household.,106,monthly
653622,450,450,Personal Housing Expenses,Housing,to build a safe latrine to protect the family from illness and promote their health.,106,monthly
653558,1000,1000,Farming,Agriculture,To buy fertilizer for her crop,204,monthly
653589,1000,1000,Food,Food,to buy more ingredients for making rice soup and Chinese noodle.,204,monthly
653629,375,375,Farming,Agriculture,to pay for harvesting rice,204,monthly
653546,250,250,Farming,Agriculture,To buy fertilizer and rice seeds for her farmland,204,monthly
653591,600,600,Farming,Agriculture,to buy fertilizers for her family’s business.,204,monthly
653554,625,625,Farming,Agriculture,to buy fertilizer and insecticide,204,monthly
653557,500,500,Grocery Store,Food,to buy grocery items and start a new business,204,monthly
653550,1325,1325,Higher education costs,Education,to cover her son's tuition fees ,204,monthly
653578,250,250,Higher education costs,Education,to cover a tuition fee of her studies.,204,monthly
653561,750,750,Farming,Agriculture,To pay for the harvesting fee and plowing fee for her agribusiness,204,monthly
653564,1325,1325,Farming,Agriculture,to buy a water-pumping machine for supporting her paddy business,204,monthly
653543,400,400,Food,Food,To buy beans for resale,204,monthly
653567,625,625,Farming,Agriculture,to buy fertilizer for her farmland ,204,monthly
653535,875,875,Farming,Agriculture,to pay reaping fee,204,monthly
653502,1500,1500,Fruits & Vegetables,Food,To buy longan under contract for resale.,61,monthly
654111,450,450,Personal Housing Expenses,Housing,"to build a safe latrine at home, so everyone in his family can use it comfortably.",106,monthly
654141,875,875,Farming,Agriculture,to buy a cow for maintenance of the rice fields.,106,monthly
654134,1500,1500,Farming,Agriculture,"o buy a cow for maintenance at the rice fields and to buy a water pump, which will be used to carry the water into her vegetable fields.",106,monthly
654120,600,600,Personal Housing Expenses,Housing,to buy construction materials needed to build a latrine and to pay for laborers performing the construction.,106,monthly
654100,800,800,Personal Housing Expenses,Housing,to buy construction materials needed to build a household latrine and pay for labor costs.,106,monthly
654105,650,650,Personal Housing Expenses,Housing,"a loan to build a safe, hygienic latrine to promote their health.",106,monthly
654129,1000,1000,Farming,Agriculture,"to invest in the purchase of 5,000 Kg of rice to stock for future sales.",106,monthly
655096,825,825,Farming,Agriculture,to buy sesame seeds for sesame planting and to harvest rice.,204,monthly
655073,550,550,Farming,Agriculture,to pay for harvesting rice,204,monthly
654935,1500,1500,Vehicle,Personal Use,to purchase a motorbike for commuting.,9,monthly
655103,1350,1350,Farming,Agriculture,to buy more piglets for raising,204,monthly
655237,1025,1025,Cattle,Agriculture,buy a cow,204,monthly
655231,700,700,Pigs,Agriculture,To buy feed and piglets for raising ,204,monthly
655134,1050,1050,Food,Food,to buy vegetables and fish to resell.,204,monthly
655080,700,700,Pigs,Agriculture, to buy piglets,204,monthly
655236,600,600,Farming,Agriculture,to pay the reaping fees for her rice crop,204,monthly
655233,950,950,Farming,Agriculture,To pay harvesting fees.,204,monthly
655234,850,850,Pigs,Agriculture,To buy five more piglets and pay pig fees to support her business.,204,monthly
655108,950,950,Farming,Agriculture,to pay for harvesting rice,204,monthly
655478,1300,1300,Vehicle,Personal Use,to buy a motorcycle to fulfill his family's transportation needs.,106,monthly
655551,375,375,Farming,Agriculture,to pay for harvesting rice,204,monthly
655553,300,300,Farming,Agriculture,to pay for harvesting rice.,204,monthly
655557,875,875,Pigs,Agriculture,to buy more piglets.,204,monthly
655428,500,500,Personal Housing Expenses,Housing,To fill in the land behind her house and build a bathroom for her family.     ,61,monthly
655608,500,500,Personal Housing Expenses,Housing, to buy materials to construct a latrine.,106,monthly
655436,1000,1000,Weaving,Arts,To buy additional cotton materials for weaving,61,monthly
655470,2000,2000,Personal Housing Expenses,Housing,to support the construction of a household latrine.,106,monthly
655595,1000,1000,Personal Housing Expenses,Housing,to build a household latrine.,106,monthly
655422,500,500,Personal Housing Expenses,Housing,To level up his house foundation.   ,61,monthly
655563,1000,1000,General Store,Retail,to buy more grocery items to sell.,204,monthly
655638,1000,1000,Fish Selling,Food,to invest in the purchase of fish for making fermented fish.,106,monthly
655431,1000,1000,Personal Housing Expenses,Housing,to purchase construction supplies to make some home improvements. ,106,monthly
655548,250,250,Farming,Agriculture,to pay for harvesting rice,204,monthly
655561,1000,1000,Farming,Agriculture,to spend harvesting rice,204,monthly
655556,650,650,Farming,Agriculture,to harvest rice.,204,monthly
655456,1200,1200,Personal Housing Expenses,Housing,to buy excavated dirt to refill the ground part of his house.,106,monthly
655427,1500,1500,Motorcycle Transport,Transportation,To buy a motorcycle for her family use. ,61,monthly
655559,1000,1000,Poultry,Agriculture,to buy more ducks to raise. ,204,monthly
656014,1200,1200,Farming,Agriculture,to buy fertilizers and seed for her farmland.,204,monthly
656082,900,900,Grocery Store,Food,To buy grocery items to sale,204,monthly
656090,550,550,Farming,Agriculture,To pay for reaping fees.,204,monthly
656070,725,725,Farming,Agriculture,To pay harvesting fees.,204,monthly
655963,1300,1300,Personal Housing Expenses,Housing,to renovate her house,106,monthly
656006,400,400,Construction,Construction,to buy construction supplies.,204,monthly
656095,775,775,Farming,Agriculture,To pay for reaping fees.,204,monthly
655960,1000,1000,Vehicle,Personal Use,To buy a motorcycle for commuting to work.   ,61,monthly
656013,1450,1450,Higher education costs,Education,to pay for her daughter’s university tuition fee.,204,monthly
656093,1075,1075,Farming,Agriculture,To pay for labor fees.,204,monthly
655978,1500,1500,Property,Housing,to build a new home for her oldest child,106,monthly
656008,750,750,Farming,Agriculture,to buy fertilizers and seeds for her farmland.,204,monthly
656064,275,275,Services,Services,to buy a horse to support her business,204,monthly
655974,500,500,Personal Housing Expenses,Housing,to build a household latrine.,106,monthly
656074,100,100,Personal Housing Expenses,Housing,To build a latrine,204,monthly
656038,1100,1100,Farming,Agriculture,to buy a piece of land to enlarge his area for farming rice,106,monthly
656010,750,750,Food Market,Food,to buy more grocery items for resale.,204,monthly
656084,150,150,Farming,Agriculture,To pay for reaping fees.,204,monthly
655968,1000,1000,Personal Housing Expenses,Housing,to buy woods for renovating his own home.,106,monthly
656376,1000,1000,Higher education costs,Education,To cover her brother's school fees in nursing.,204,monthly
656374,300,300,Farming,Agriculture,To buy fertilizer and seeds and to pay plowing fees for her farming,204,monthly
656409,1650,1650,Farming,Agriculture,to buy fertilizer and seeds for her farmland.,204,monthly
656418,925,925,Services,Services,to buy more embellishment supplies for her business,204,monthly
656420,1275,1275,Farming,Agriculture,to buy rice seeds and fertilizer for her farmland,204,monthly
656414,1025,1025,Farming,Agriculture, to buy fertilizer and seeds for his farmland.,204,monthly
656416,625,625,Farming,Agriculture,to pay to harvest rice.,204,monthly
656411,725,725,Farming,Agriculture, to buy fertilizer and seeds for her farmland.,204,monthly
656413,775,775,Farming,Agriculture, to buy fertilizer for her cassava.,204,monthly
656417,1025,1025,Farming,Agriculture,to pay reaping fees and buy more grocery items.,204,monthly
656423,525,525,Higher education costs,Education,To cover her daughter's school fees,204,monthly
656421,525,525,General Store,Retail,to buy more grocery items for sale and to improve her farm,204,monthly
656412,1025,1025,Farming,Agriculture, to buy fertilizer for her cassava.,204,monthly
656415,1525,1525,Farming,Agriculture,to buy fertilizer for her farmland.,204,monthly
656424,725,725,Primary/secondary school costs,Education,To pay for her daughter's university tuition,204,monthly
656408,1000,1000,Farming,Agriculture,to buy fertilizer and seeds for her farmland.,204,monthly
656589,1500,1500,Personal Housing Expenses,Housing,to buy wood and pay for labor costs incurred in performing the construction of home renovation.,106,monthly
656575,500,500,Fruits & Vegetables,Food,to purchase banana fruits from local growers to sell in the markets at a reasonable price.,106,monthly
